id,gender_bin,b_cls,r_cls,benefit_uncertainty,risk_uncertainty,unc_index
683,Woman,substantive,,0.0,,
684,Woman,substantive,,0.0,,
685,Woman,substantive,,0.0,,
686,Man,substantive,substantive,0.0,0.0,0.0
687,Woman,substantive,substantive,0.0,0.0,0.0
688,Man,substantive,,0.0,,
689,Woman,substantive,substantive,0.0,0.0,0.0
690,Woman,uncertain,substantive,1.0,0.0,0.5
691,Man,substantive,uncertain,0.0,1.0,0.5
692,Man,substantive,substantive,0.0,0.0,0.0
693,Man,substantive,substantive,0.0,0.0,0.0
694,Woman,uncertain,substantive,1.0,0.0,0.5
695,Man,substantive,too_short,0.0,,
696,Man,too_short,uncertain,,1.0,
697,Man,missing,substantive,,0.0,
698,Woman,substantive,substantive,0.0,0.0,0.0
699,Woman,substantive,,0.0,,
700,Woman,substantive,,0.0,,
701,Woman,substantive,too_short,0.0,,
702,Man,uncertain,substantive,1.0,0.0,0.5
703,Woman,substantive,,0.0,,
704,Man,substantive,,0.0,,
705,Woman,substantive,,0.0,,
706,Man,substantive,,0.0,,
707,Man,too_short,,,,
708,Woman,substantive,,0.0,,
709,Woman,uncertain,substantive,1.0,0.0,0.5
710,Woman,substantive,,0.0,,
711,Woman,uncertain,,1.0,,
712,Man,substantive,,0.0,,
713,Woman,substantive,,0.0,,
714,Man,substantive,,0.0,,
715,Woman,substantive,,0.0,,
716,Woman,substantive,substantive,0.0,0.0,0.0
717,Man,substantive,too_short,0.0,,
718,Woman,substantive,,0.0,,
719,Woman,too_short,substantive,,0.0,
720,Woman,substantive,too_short,0.0,,
721,Man,substantive,uncertain,0.0,1.0,0.5
722,Woman,substantive,substantive,0.0,0.0,0.0
723,Man,substantive,,0.0,,
724,Woman,substantive,substantive,0.0,0.0,0.0
725,Woman,substantive,substantive,0.0,0.0,0.0
726,Man,substantive,,0.0,,
727,Man,substantive,,0.0,,
728,Man,substantive,substantive,0.0,0.0,0.0
729,Woman,substantive,substantive,0.0,0.0,0.0
730,Man,substantive,,0.0,,
731,Woman,substantive,,0.0,,
732,Woman,uncertain,substantive,1.0,0.0,0.5
733,Woman,substantive,uncertain,0.0,1.0,0.5
734,Woman,uncertain,substantive,1.0,0.0,0.5
735,Woman,uncertain,,1.0,,
736,Woman,uncertain,substantive,1.0,0.0,0.5
737,Man,uncertain,,1.0,,
738,Man,uncertain,substantive,1.0,0.0,0.5
739,Man,substantive,too_short,0.0,,
740,Man,uncertain,substantive,1.0,0.0,0.5
741,Man,substantive,,0.0,,
742,Man,substantive,substantive,0.0,0.0,0.0
743,Woman,substantive,substantive,0.0,0.0,0.0
744,Man,substantive,,0.0,,
745,Man,substantive,,0.0,,
746,Woman,uncertain,,1.0,,
747,Man,substantive,,0.0,,
748,Man,substantive,substantive,0.0,0.0,0.0
749,Woman,substantive,uncertain,0.0,1.0,0.5
750,Woman,uncertain,,1.0,,
751,Man,uncertain,substantive,1.0,0.0,0.5
752,Woman,substantive,,0.0,,
753,Man,substantive,,0.0,,
754,Man,substantive,,0.0,,
755,Man,substantive,uncertain,0.0,1.0,0.5
756,Man,substantive,,0.0,,
757,Man,substantive,substantive,0.0,0.0,0.0
758,Man,substantive,,0.0,,
759,Woman,substantive,,0.0,,
760,Woman,uncertain,substantive,1.0,0.0,0.5
761,Woman,uncertain,substantive,1.0,0.0,0.5
762,Woman,substantive,substantive,0.0,0.0,0.0
763,Man,too_short,,,,
764,Woman,uncertain,,1.0,,
765,Woman,uncertain,,1.0,,
766,Man,missing,too_short,,,
767,Woman,substantive,substantive,0.0,0.0,0.0
768,Woman,substantive,,0.0,,
769,Woman,substantive,,0.0,,
770,Woman,uncertain,,1.0,,
771,Man,too_short,,,,
772,Woman,substantive,,0.0,,
773,Man,substantive,,0.0,,
774,Woman,substantive,substantive,0.0,0.0,0.0
775,Man,substantive,substantive,0.0,0.0,0.0
776,Woman,uncertain,,1.0,,
777,Man,substantive,uncertain,0.0,1.0,0.5
778,Man,substantive,substantive,0.0,0.0,0.0
779,Man,too_short,substantive,,0.0,
780,Man,substantive,,0.0,,
781,Woman,substantive,substantive,0.0,0.0,0.0
782,Man,missing,,,,
783,Man,substantive,substantive,0.0,0.0,0.0
784,Woman,substantive,substantive,0.0,0.0,0.0
785,Man,substantive,substantive,0.0,0.0,0.0
786,Woman,substantive,,0.0,,
787,Man,missing,substantive,,0.0,
788,Woman,substantive,,0.0,,
789,Woman,substantive,substantive,0.0,0.0,0.0
790,Woman,substantive,substantive,0.0,0.0,0.0
791,Woman,substantive,substantive,0.0,0.0,0.0
792,Woman,uncertain,substantive,1.0,0.0,0.5
793,Woman,substantive,substantive,0.0,0.0,0.0
794,Man,too_short,,,,
795,Man,substantive,substantive,0.0,0.0,0.0
796,Woman,uncertain,,1.0,,
797,Man,substantive,substantive,0.0,0.0,0.0
798,Woman,uncertain,substantive,1.0,0.0,0.5
799,Woman,substantive,,0.0,,
800,Man,too_short,,,,
801,Man,substantive,uncertain,0.0,1.0,0.5
802,Woman,substantive,too_short,0.0,,
803,Woman,uncertain,,1.0,,
804,Woman,substantive,,0.0,,
805,Woman,substantive,substantive,0.0,0.0,0.0
806,Man,substantive,,0.0,,
807,Man,substantive,substantive,0.0,0.0,0.0
808,Man,too_short,substantive,,0.0,
809,Woman,substantive,,0.0,,
810,Woman,substantive,too_short,0.0,,
811,Woman,uncertain,substantive,1.0,0.0,0.5
812,Woman,substantive,,0.0,,
813,Man,substantive,too_short,0.0,,
814,Woman,substantive,,0.0,,
815,Man,substantive,,0.0,,
816,Woman,uncertain,too_short,1.0,,
817,Woman,uncertain,too_short,1.0,,
818,Woman,substantive,,0.0,,
819,Man,substantive,,0.0,,
820,Woman,substantive,,0.0,,
821,Woman,missing,,,,
822,Woman,too_short,,,,
823,Woman,uncertain,,1.0,,
824,Woman,substantive,substantive,0.0,0.0,0.0
825,Man,uncertain,substantive,1.0,0.0,0.5
826,Woman,substantive,,0.0,,
827,Man,substantive,,0.0,,
828,Woman,substantive,,0.0,,
829,Woman,substantive,,0.0,,
830,Woman,substantive,too_short,0.0,,
831,Woman,substantive,,0.0,,
832,Woman,substantive,uncertain,0.0,1.0,0.5
833,Man,substantive,,0.0,,
834,Woman,substantive,,0.0,,
835,Man,substantive,,0.0,,
836,Man,substantive,substantive,0.0,0.0,0.0
837,Man,uncertain,,1.0,,
838,Man,substantive,substantive,0.0,0.0,0.0
839,Woman,substantive,substantive,0.0,0.0,0.0
840,Woman,missing,,,,
841,Man,substantive,,0.0,,
842,Woman,substantive,,0.0,,
843,Man,substantive,uncertain,0.0,1.0,0.5
844,Woman,substantive,substantive,0.0,0.0,0.0
845,Man,substantive,,0.0,,
846,Woman,substantive,substantive,0.0,0.0,0.0
847,Man,too_short,,,,
848,Man,missing,substantive,,0.0,
849,Woman,substantive,substantive,0.0,0.0,0.0
850,Man,missing,uncertain,,1.0,
851,Man,substantive,,0.0,,
852,Woman,substantive,substantive,0.0,0.0,0.0
853,Man,substantive,substantive,0.0,0.0,0.0
854,Woman,substantive,substantive,0.0,0.0,0.0
855,Man,substantive,,0.0,,
856,Woman,too_short,,,,
857,Man,missing,,,,
858,Man,substantive,,0.0,,
859,Woman,substantive,,0.0,,
860,Woman,uncertain,,1.0,,
861,Man,substantive,,0.0,,
862,Man,substantive,substantive,0.0,0.0,0.0
863,Woman,substantive,,0.0,,
864,Man,uncertain,uncertain,1.0,1.0,1.0
865,Woman,substantive,,0.0,,
866,Woman,missing,substantive,,0.0,
867,Woman,substantive,,0.0,,
868,Man,uncertain,,1.0,,
869,Man,substantive,substantive,0.0,0.0,0.0
870,Woman,substantive,substantive,0.0,0.0,0.0
871,Woman,uncertain,,1.0,,
872,Man,too_short,substantive,,0.0,
873,Man,substantive,substantive,0.0,0.0,0.0
874,Woman,substantive,too_short,0.0,,
875,Man,uncertain,,1.0,,
876,Woman,substantive,,0.0,,
877,Woman,substantive,substantive,0.0,0.0,0.0
878,Woman,uncertain,uncertain,1.0,1.0,1.0
879,Man,substantive,uncertain,0.0,1.0,0.5
880,Woman,substantive,,0.0,,
881,Man,substantive,substantive,0.0,0.0,0.0
882,Woman,substantive,,0.0,,
883,Woman,substantive,substantive,0.0,0.0,0.0
884,Man,substantive,substantive,0.0,0.0,0.0
885,Woman,substantive,,0.0,,
886,Woman,substantive,,0.0,,
887,Man,uncertain,,1.0,,
888,Man,substantive,substantive,0.0,0.0,0.0
889,Man,substantive,,0.0,,
890,Woman,substantive,,0.0,,
891,Woman,substantive,substantive,0.0,0.0,0.0
892,Woman,substantive,substantive,0.0,0.0,0.0
893,Man,too_short,,,,
894,Man,too_short,substantive,,0.0,
895,Man,substantive,,0.0,,
896,Woman,substantive,,0.0,,
897,Woman,too_short,,,,
898,Man,too_short,,,,
899,Woman,uncertain,substantive,1.0,0.0,0.5
900,Woman,uncertain,substantive,1.0,0.0,0.5
901,Man,missing,,,,
902,Man,substantive,,0.0,,
903,Woman,substantive,uncertain,0.0,1.0,0.5
904,Man,substantive,substantive,0.0,0.0,0.0
905,Man,substantive,too_short,0.0,,
906,Man,substantive,,0.0,,
907,Woman,substantive,substantive,0.0,0.0,0.0
908,Woman,substantive,,0.0,,
909,Woman,substantive,,0.0,,
910,Man,substantive,,0.0,,
911,Woman,uncertain,,1.0,,
912,Woman,substantive,,0.0,,
913,Woman,uncertain,,1.0,,
914,Woman,substantive,uncertain,0.0,1.0,0.5
915,Man,substantive,too_short,0.0,,
916,Man,substantive,substantive,0.0,0.0,0.0
917,Woman,uncertain,substantive,1.0,0.0,0.5
918,Man,uncertain,substantive,1.0,0.0,0.5
919,Woman,substantive,,0.0,,
920,Man,substantive,,0.0,,
921,Man,substantive,,0.0,,
922,Woman,substantive,uncertain,0.0,1.0,0.5
923,Woman,substantive,,0.0,,
924,Man,substantive,,0.0,,
925,Woman,substantive,substantive,0.0,0.0,0.0
926,Man,substantive,substantive,0.0,0.0,0.0
927,Man,substantive,,0.0,,
928,Woman,substantive,,0.0,,
929,Man,substantive,uncertain,0.0,1.0,0.5
930,Woman,substantive,,0.0,,
931,Woman,substantive,,0.0,,
932,Woman,substantive,,0.0,,
933,Man,substantive,,0.0,,
934,Woman,too_short,,,,
935,Man,too_short,uncertain,,1.0,
936,Woman,missing,substantive,,0.0,
937,Man,substantive,,0.0,,
938,Woman,substantive,substantive,0.0,0.0,0.0
939,Man,substantive,,0.0,,
940,Man,uncertain,too_short,1.0,,
941,Woman,uncertain,,1.0,,
942,Woman,substantive,,0.0,,
943,Woman,substantive,,0.0,,
944,Woman,substantive,,0.0,,
945,Woman,uncertain,substantive,1.0,0.0,0.5
946,Woman,too_short,substantive,,0.0,
947,Man,substantive,,0.0,,
948,Man,substantive,,0.0,,
949,Woman,substantive,substantive,0.0,0.0,0.0
950,Man,substantive,uncertain,0.0,1.0,0.5
951,Man,substantive,,0.0,,
952,Man,substantive,,0.0,,
953,Woman,uncertain,,1.0,,
954,Man,substantive,substantive,0.0,0.0,0.0
955,Woman,substantive,substantive,0.0,0.0,0.0
956,Man,substantive,,0.0,,
957,Woman,substantive,,0.0,,
958,Man,substantive,uncertain,0.0,1.0,0.5
959,Woman,uncertain,,1.0,,
960,Man,substantive,substantive,0.0,0.0,0.0
961,Woman,substantive,,0.0,,
962,Woman,missing,,,,
963,Woman,uncertain,uncertain,1.0,1.0,1.0
964,Man,substantive,,0.0,,
965,Man,too_short,uncertain,,1.0,
966,Man,missing,substantive,,0.0,
967,Woman,substantive,,0.0,,
968,Woman,substantive,,0.0,,
969,Woman,substantive,,0.0,,
970,Woman,substantive,substantive,0.0,0.0,0.0
971,Woman,missing,substantive,,0.0,
972,Man,missing,substantive,,0.0,
973,Woman,substantive,,0.0,,
974,Man,substantive,,0.0,,
975,Man,too_short,,,,
976,Man,substantive,substantive,0.0,0.0,0.0
977,Man,substantive,,0.0,,
978,Man,too_short,substantive,,0.0,
979,Woman,substantive,substantive,0.0,0.0,0.0
980,Woman,too_short,substantive,,0.0,
981,Woman,substantive,,0.0,,
982,Man,substantive,,0.0,,
983,Woman,uncertain,uncertain,1.0,1.0,1.0
984,Man,substantive,,0.0,,
985,Woman,substantive,,0.0,,
986,Woman,uncertain,,1.0,,
987,Woman,substantive,,0.0,,
988,Woman,substantive,missing,0.0,,
989,Man,substantive,substantive,0.0,0.0,0.0
990,Woman,too_short,,,,
991,Woman,substantive,uncertain,0.0,1.0,0.5
992,Man,substantive,substantive,0.0,0.0,0.0
993,Man,substantive,too_short,0.0,,
994,Woman,substantive,substantive,0.0,0.0,0.0
995,Woman,uncertain,uncertain,1.0,1.0,1.0
996,Man,substantive,,0.0,,
997,Woman,uncertain,substantive,1.0,0.0,0.5
998,Woman,substantive,,0.0,,
999,Man,substantive,substantive,0.0,0.0,0.0
1000,Man,substantive,,0.0,,
1001,Woman,too_short,,,,
1002,Woman,substantive,substantive,0.0,0.0,0.0
1003,Man,too_short,substantive,,0.0,
1004,Man,substantive,,0.0,,
1005,Woman,uncertain,,1.0,,
1006,Woman,substantive,,0.0,,
1007,Man,too_short,,,,
1008,Man,too_short,substantive,,0.0,
1009,Woman,substantive,,0.0,,
1010,Woman,substantive,,0.0,,
1011,Man,substantive,,0.0,,
1012,Woman,substantive,substantive,0.0,0.0,0.0
1013,Woman,substantive,,0.0,,
1014,Man,substantive,substantive,0.0,0.0,0.0
1015,Woman,uncertain,substantive,1.0,0.0,0.5
1016,Man,substantive,,0.0,,
1017,Woman,substantive,missing,0.0,,
1018,Man,uncertain,,1.0,,
1019,Man,substantive,,0.0,,
1020,Man,uncertain,substantive,1.0,0.0,0.5
1021,Woman,uncertain,substantive,1.0,0.0,0.5
1022,Woman,substantive,substantive,0.0,0.0,0.0
1023,Woman,substantive,substantive,0.0,0.0,0.0
1024,Man,uncertain,,1.0,,
1025,Woman,substantive,,0.0,,
1026,Man,substantive,substantive,0.0,0.0,0.0
1027,Man,substantive,substantive,0.0,0.0,0.0
1028,Woman,substantive,,0.0,,
1029,Man,uncertain,uncertain,1.0,1.0,1.0
1030,Woman,too_short,substantive,,0.0,
1031,Woman,substantive,,0.0,,
1032,Man,substantive,,0.0,,
1033,Man,substantive,,0.0,,
1034,Man,uncertain,substantive,1.0,0.0,0.5
1035,Woman,substantive,substantive,0.0,0.0,0.0
1036,Woman,substantive,,0.0,,
1037,Man,uncertain,,1.0,,
1038,Woman,substantive,substantive,0.0,0.0,0.0
1039,Man,substantive,,0.0,,
1040,Man,substantive,substantive,0.0,0.0,0.0
1041,Man,substantive,,0.0,,
1042,Man,substantive,substantive,0.0,0.0,0.0
1043,Woman,substantive,uncertain,0.0,1.0,0.5
1044,Woman,uncertain,,1.0,,
1045,Man,substantive,,0.0,,
1046,Woman,substantive,substantive,0.0,0.0,0.0
1047,Man,substantive,substantive,0.0,0.0,0.0
1048,Man,substantive,substantive,0.0,0.0,0.0
1049,Man,uncertain,,1.0,,
1050,Woman,substantive,substantive,0.0,0.0,0.0
1051,Woman,uncertain,substantive,1.0,0.0,0.5
1052,Man,substantive,substantive,0.0,0.0,0.0
1053,Man,substantive,substantive,0.0,0.0,0.0
1054,Man,substantive,,0.0,,
1055,Woman,uncertain,,1.0,,
1056,Woman,substantive,substantive,0.0,0.0,0.0
1057,Man,missing,,,,
1058,Woman,substantive,,0.0,,
1059,Man,substantive,uncertain,0.0,1.0,0.5
1060,Man,substantive,,0.0,,
1061,Woman,substantive,too_short,0.0,,
1062,Woman,uncertain,,1.0,,
1063,Woman,substantive,,0.0,,
1064,Man,substantive,substantive,0.0,0.0,0.0
1065,Woman,missing,too_short,,,
1066,Woman,uncertain,,1.0,,
1067,Man,uncertain,too_short,1.0,,
1068,Woman,substantive,,0.0,,
1069,Woman,substantive,,0.0,,
1070,Woman,substantive,substantive,0.0,0.0,0.0
1071,Man,substantive,,0.0,,
1072,Woman,uncertain,,1.0,,
1073,Woman,uncertain,substantive,1.0,0.0,0.5
1074,Man,substantive,substantive,0.0,0.0,0.0
1075,Man,substantive,substantive,0.0,0.0,0.0
1076,Man,uncertain,,1.0,,
1077,Man,substantive,,0.0,,
1078,Woman,substantive,uncertain,0.0,1.0,0.5
1079,Man,substantive,substantive,0.0,0.0,0.0
1080,Woman,uncertain,substantive,1.0,0.0,0.5
1081,Woman,substantive,substantive,0.0,0.0,0.0
1082,Man,substantive,substantive,0.0,0.0,0.0
1083,Woman,too_short,,,,
1084,Man,substantive,too_short,0.0,,
1085,Woman,substantive,,0.0,,
1086,Woman,substantive,,0.0,,
1087,Woman,substantive,,0.0,,
1088,Man,substantive,,0.0,,
1089,Woman,substantive,substantive,0.0,0.0,0.0
1090,Man,substantive,,0.0,,
1091,Man,substantive,substantive,0.0,0.0,0.0
1092,Man,substantive,substantive,0.0,0.0,0.0
1093,Woman,too_short,uncertain,,1.0,
1094,Man,substantive,substantive,0.0,0.0,0.0
1095,Woman,uncertain,,1.0,,
1096,Woman,substantive,substantive,0.0,0.0,0.0
1097,Woman,uncertain,substantive,1.0,0.0,0.5
1098,Woman,substantive,,0.0,,
1099,Man,substantive,substantive,0.0,0.0,0.0
1100,Woman,substantive,,0.0,,
1101,Man,too_short,,,,
1102,Man,substantive,,0.0,,
1103,Man,substantive,substantive,0.0,0.0,0.0
1104,Woman,substantive,substantive,0.0,0.0,0.0
1105,Man,uncertain,substantive,1.0,0.0,0.5
1106,Woman,substantive,,0.0,,
1107,Man,substantive,substantive,0.0,0.0,0.0
1108,Woman,too_short,substantive,,0.0,
1109,Woman,substantive,substantive,0.0,0.0,0.0
1110,Woman,too_short,,,,
1111,Man,substantive,substantive,0.0,0.0,0.0
1112,Man,substantive,,0.0,,
1113,Man,uncertain,substantive,1.0,0.0,0.5
1114,Woman,uncertain,substantive,1.0,0.0,0.5
1115,Woman,uncertain,substantive,1.0,0.0,0.5
1116,Woman,substantive,substantive,0.0,0.0,0.0
1117,Woman,too_short,,,,
1118,Man,substantive,too_short,0.0,,
1119,Woman,uncertain,substantive,1.0,0.0,0.5
1120,Man,substantive,,0.0,,
1121,Woman,uncertain,,1.0,,
1122,Woman,missing,substantive,,0.0,
1123,Man,uncertain,substantive,1.0,0.0,0.5
1124,Woman,substantive,,0.0,,
1125,Woman,too_short,too_short,,,
1126,Man,substantive,,0.0,,
1127,Woman,uncertain,,1.0,,
1128,Man,substantive,substantive,0.0,0.0,0.0
1129,Man,substantive,,0.0,,
1130,Man,substantive,,0.0,,
1131,Man,substantive,substantive,0.0,0.0,0.0
1132,Woman,substantive,substantive,0.0,0.0,0.0
1133,Man,substantive,,0.0,,
1134,Man,substantive,,0.0,,
1135,Woman,substantive,substantive,0.0,0.0,0.0
1136,Man,substantive,,0.0,,
1137,Woman,substantive,too_short,0.0,,
1138,Man,substantive,,0.0,,
1139,Man,substantive,,0.0,,
1140,Woman,substantive,,0.0,,
1141,Woman,uncertain,substantive,1.0,0.0,0.5
1142,Woman,substantive,,0.0,,
1143,Woman,substantive,substantive,0.0,0.0,0.0
1144,Man,substantive,,0.0,,
1145,Woman,substantive,,0.0,,
1146,Man,substantive,,0.0,,
1147,Woman,substantive,substantive,0.0,0.0,0.0
1148,Man,substantive,substantive,0.0,0.0,0.0
1149,Woman,uncertain,too_short,1.0,,
1150,Man,substantive,,0.0,,
1151,Man,uncertain,,1.0,,
1152,Woman,uncertain,,1.0,,
1153,Woman,uncertain,substantive,1.0,0.0,0.5
1154,Woman,substantive,substantive,0.0,0.0,0.0
1155,Woman,substantive,substantive,0.0,0.0,0.0
1156,Man,too_short,substantive,,0.0,
1157,Man,substantive,substantive,0.0,0.0,0.0
1158,Woman,substantive,,0.0,,
1159,Woman,substantive,,0.0,,
1160,Woman,substantive,,0.0,,
1161,Man,too_short,substantive,,0.0,
1162,Woman,substantive,,0.0,,
1163,Woman,substantive,substantive,0.0,0.0,0.0
1164,Woman,substantive,,0.0,,
1165,Man,substantive,,0.0,,
1166,Man,uncertain,,1.0,,
1167,Woman,substantive,,0.0,,
1168,Woman,substantive,substantive,0.0,0.0,0.0
1169,Woman,uncertain,,1.0,,
1170,Woman,too_short,substantive,,0.0,
1171,Woman,substantive,,0.0,,
1172,Woman,substantive,,0.0,,
1173,Man,substantive,substantive,0.0,0.0,0.0
1174,Woman,substantive,,0.0,,
1175,Woman,substantive,substantive,0.0,0.0,0.0
1176,Woman,substantive,substantive,0.0,0.0,0.0
1177,Man,substantive,substantive,0.0,0.0,0.0
1178,Man,substantive,substantive,0.0,0.0,0.0
1179,Man,substantive,,0.0,,
1180,Woman,substantive,,0.0,,
1181,Man,substantive,uncertain,0.0,1.0,0.5
1182,Woman,uncertain,,1.0,,
1183,Woman,too_short,substantive,,0.0,
1184,Woman,substantive,,0.0,,
1185,Woman,substantive,,0.0,,
1186,Man,uncertain,too_short,1.0,,
1187,Man,missing,missing,,,
1188,Woman,substantive,substantive,0.0,0.0,0.0
1189,Woman,substantive,,0.0,,
1190,Woman,uncertain,,1.0,,
1191,Woman,substantive,,0.0,,
1192,Man,substantive,substantive,0.0,0.0,0.0
1193,Woman,missing,,,,
1194,Woman,too_short,,,,
1195,Man,substantive,substantive,0.0,0.0,0.0
1196,Man,substantive,substantive,0.0,0.0,0.0
1197,Man,substantive,,0.0,,
1198,Woman,missing,,,,
1199,Woman,substantive,substantive,0.0,0.0,0.0
1200,Man,too_short,,,,
1201,Man,substantive,,0.0,,
1202,Man,substantive,,0.0,,
1203,Man,substantive,substantive,0.0,0.0,0.0
1204,Woman,uncertain,substantive,1.0,0.0,0.5
1205,Man,missing,,,,
1206,Woman,substantive,too_short,0.0,,
1207,Man,uncertain,substantive,1.0,0.0,0.5
1208,Woman,substantive,uncertain,0.0,1.0,0.5
1209,Man,too_short,,,,
1210,Man,substantive,,0.0,,
1211,Woman,substantive,,0.0,,
1212,Man,substantive,substantive,0.0,0.0,0.0
1213,Man,substantive,,0.0,,
1214,Woman,substantive,,0.0,,
1215,Woman,substantive,,0.0,,
1216,Woman,substantive,,0.0,,
1217,Woman,substantive,substantive,0.0,0.0,0.0
1218,Man,uncertain,substantive,1.0,0.0,0.5
1219,Woman,too_short,too_short,,,
1220,Woman,substantive,,0.0,,
1221,Woman,substantive,,0.0,,
1222,Man,too_short,substantive,,0.0,
1223,Man,substantive,,0.0,,
1224,Man,substantive,substantive,0.0,0.0,0.0
1225,Woman,substantive,,0.0,,
1226,Woman,substantive,,0.0,,
1227,Woman,substantive,,0.0,,
1228,Man,substantive,uncertain,0.0,1.0,0.5
1229,Man,uncertain,substantive,1.0,0.0,0.5
1230,Woman,substantive,substantive,0.0,0.0,0.0
1231,Man,substantive,,0.0,,
1232,Woman,too_short,substantive,,0.0,
1233,Woman,uncertain,,1.0,,
1234,Man,uncertain,uncertain,1.0,1.0,1.0
1235,Woman,uncertain,substantive,1.0,0.0,0.5
1236,Woman,substantive,substantive,0.0,0.0,0.0
1237,Man,substantive,,0.0,,
1238,Man,too_short,,,,
1239,Woman,substantive,substantive,0.0,0.0,0.0
1240,Woman,substantive,substantive,0.0,0.0,0.0
1241,Woman,substantive,substantive,0.0,0.0,0.0
1242,Woman,substantive,missing,0.0,,
1243,Woman,uncertain,substantive,1.0,0.0,0.5
1244,Man,substantive,,0.0,,
1245,Man,too_short,,,,
1246,Man,substantive,,0.0,,
1247,Man,uncertain,,1.0,,
1248,Man,substantive,too_short,0.0,,
1249,Woman,substantive,,0.0,,
1250,Woman,substantive,substantive,0.0,0.0,0.0
1251,Woman,substantive,substantive,0.0,0.0,0.0
1252,Woman,uncertain,,1.0,,
1253,Man,substantive,uncertain,0.0,1.0,0.5
1254,Woman,too_short,,,,
1255,Woman,substantive,,0.0,,
1256,Woman,substantive,uncertain,0.0,1.0,0.5
1257,Man,substantive,,0.0,,
1258,Woman,substantive,,0.0,,
1259,Man,too_short,,,,
1260,Man,substantive,substantive,0.0,0.0,0.0
1261,Woman,substantive,substantive,0.0,0.0,0.0
1262,Woman,too_short,substantive,,0.0,
1263,Woman,substantive,,0.0,,
1264,Man,uncertain,too_short,1.0,,
1265,Woman,uncertain,,1.0,,
1266,Man,too_short,,,,
1267,Man,too_short,,,,
1268,Woman,uncertain,,1.0,,
1269,Woman,substantive,substantive,0.0,0.0,0.0
1270,Man,substantive,uncertain,0.0,1.0,0.5
1271,Man,too_short,,,,
1272,Man,substantive,substantive,0.0,0.0,0.0
1273,Man,substantive,,0.0,,
1274,Man,substantive,too_short,0.0,,
1275,Man,substantive,,0.0,,
1276,Man,substantive,substantive,0.0,0.0,0.0
1277,Woman,uncertain,,1.0,,
1278,Man,substantive,,0.0,,
1279,Woman,substantive,substantive,0.0,0.0,0.0
1280,Woman,substantive,,0.0,,
1281,Man,substantive,,0.0,,
1282,Woman,substantive,substantive,0.0,0.0,0.0
1283,Woman,substantive,missing,0.0,,
1284,Man,substantive,substantive,0.0,0.0,0.0
1285,Man,substantive,,0.0,,
1286,Man,substantive,substantive,0.0,0.0,0.0
1287,Woman,substantive,,0.0,,
1288,Man,substantive,uncertain,0.0,1.0,0.5
1289,Man,substantive,uncertain,0.0,1.0,0.5
1290,Man,substantive,substantive,0.0,0.0,0.0
1291,Woman,substantive,uncertain,0.0,1.0,0.5
1292,Man,substantive,substantive,0.0,0.0,0.0
1293,Woman,too_short,substantive,,0.0,
1294,Woman,substantive,substantive,0.0,0.0,0.0
1295,Woman,substantive,,0.0,,
1296,Woman,substantive,,0.0,,
1297,Man,uncertain,,1.0,,
1298,Man,too_short,,,,
1299,Woman,substantive,,0.0,,
1300,Woman,uncertain,substantive,1.0,0.0,0.5
1301,Man,substantive,too_short,0.0,,
1302,Woman,uncertain,,1.0,,
1303,Man,substantive,,0.0,,
1304,Woman,substantive,substantive,0.0,0.0,0.0
1305,Woman,substantive,,0.0,,
1306,Woman,uncertain,,1.0,,
1307,Woman,too_short,too_short,,,
1308,Man,substantive,,0.0,,
1309,Man,substantive,substantive,0.0,0.0,0.0
1310,Woman,substantive,substantive,0.0,0.0,0.0
1311,Man,substantive,,0.0,,
1312,Man,substantive,,0.0,,
1313,Woman,too_short,substantive,,0.0,
1314,Man,substantive,,0.0,,
1315,Man,substantive,,0.0,,
1316,Man,substantive,,0.0,,
1317,Woman,uncertain,substantive,1.0,0.0,0.5
1318,Man,substantive,,0.0,,
1319,Man,substantive,,0.0,,
1320,Man,substantive,,0.0,,
1321,Woman,uncertain,,1.0,,
1322,Man,substantive,,0.0,,
1323,Woman,substantive,substantive,0.0,0.0,0.0
1324,Man,uncertain,,1.0,,
1325,Woman,too_short,substantive,,0.0,
1326,Man,substantive,substantive,0.0,0.0,0.0
1327,Woman,uncertain,substantive,1.0,0.0,0.5
1328,Woman,too_short,substantive,,0.0,
1329,Woman,uncertain,,1.0,,
1330,Woman,substantive,substantive,0.0,0.0,0.0
1331,Woman,substantive,substantive,0.0,0.0,0.0
1332,Woman,uncertain,substantive,1.0,0.0,0.5
1333,Man,substantive,,0.0,,
1334,Woman,substantive,substantive,0.0,0.0,0.0
1335,Man,substantive,substantive,0.0,0.0,0.0
1336,Man,substantive,uncertain,0.0,1.0,0.5
1337,Woman,substantive,substantive,0.0,0.0,0.0
1338,Man,substantive,,0.0,,
1339,Woman,substantive,,0.0,,
1340,Woman,substantive,,0.0,,
1341,Man,substantive,,0.0,,
1342,Woman,substantive,,0.0,,
1343,Woman,substantive,,0.0,,
1344,Man,substantive,substantive,0.0,0.0,0.0
1345,Woman,uncertain,,1.0,,
1346,Man,substantive,substantive,0.0,0.0,0.0
1347,Woman,substantive,substantive,0.0,0.0,0.0
1348,Man,substantive,substantive,0.0,0.0,0.0
1349,Woman,substantive,substantive,0.0,0.0,0.0
1350,Man,substantive,substantive,0.0,0.0,0.0
1351,Man,uncertain,,1.0,,
1352,Woman,substantive,substantive,0.0,0.0,0.0
