Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
820,6,4,Women,0.6,certain,1,50%,30 to 44,Postgrad,Canada,Pass,0.7015
821,5,1,Women,0.666666667,certain,0,30%,30 to 44,Some college,Canada,Pass,0.6228
822,3,4,Men,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.8258
823,3.5,3,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,1.1297
824,2,NA,Women,0.866666667,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7872
825,2.5,4,Women,NA,risky,0,50%,18 to 29,HS or less,Canada,Fail,0.52
826,7,2,Men,0.533333333,certain,0,70%,45 to 64,Some college,Canada,Pass,0.8286
827,5,3,Men,0.533333333,certain,1,50%,18 to 29,University,Canada,Pass,2.1537
828,3,3,Women,0.6,certain,0,100%,65 or older,HS or less,Canada,Fail,1.1511
829,0,3,Women,0.9,certain,0,30%,45 to 64,HS or less,Canada,Fail,2.5624
830,2,2,Women,0.4,certain,0,30%,45 to 64,Some college,Canada,Fail,0.53
831,2.5,4,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.6846
832,2.5,2,Men,0.5,risky,1,30%,65 or older,Postgrad,US,Pass,0.9446
833,5,NA,Women,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.389
834,4,3,Women,0.4,certain,0,100%,30 to 44,HS or less,US,Fail,0.7331
835,5,2,Men,0.266666667,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.7752
836,0,NA,Men,NA,certain,0,100%,45 to 64,Some college,Canada,Fail,0.4192
837,0.5,4,Women,NA,risky,1,50%,30 to 44,Postgrad,Canada,Fail,1.7386
838,5,2,Women,0.366666667,certain,1,30%,30 to 44,University,Canada,Pass,0.7224
839,5,3,Women,NA,certain,0,70%,30 to 44,HS or less,Canada,Fail,0.6598
840,0,NA,Men,NA,certain,0,70%,65 or older,Some college,Canada,Fail,0.6371
841,4,3,Men,0.566666667,certain,0,100%,30 to 44,Some college,Canada,Fail,0.5059
842,10,2,Men,0.833333333,certain,1,70%,45 to 64,University,Canada,Pass,0.6701
843,0,4,Men,0.433333333,certain,1,50%,30 to 44,Postgrad,Canada,Pass,0.9049
844,0,5,Women,0.433333333,risky,1,100%,45 to 64,University,Canada,Pass,2.0218
845,5,4,Women,0.5,certain,1,70%,30 to 44,University,Canada,Pass,1.4419
846,4,4,Men,0.333333333,certain,1,100%,45 to 64,Postgrad,Canada,Pass,0.1761
847,0,3,Women,0.6,certain,0,70%,30 to 44,Some college,Canada,Pass,0.4866
848,5,NA,Women,0.7,certain,0,50%,30 to 44,Some college,Canada,Pass,0.6983
849,4,4,Men,NA,certain,1,70%,65 or older,University,Canada,Pass,0.9765
850,2,2,Men,0,risky,1,50%,65 or older,University,Canada,Fail,0.7872
851,2,4,Women,NA,risky,0,50%,65 or older,Some college,Canada,Fail,0.4969
852,3,4,Men,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,1.6371
853,4,4,Women,NA,risky,1,70%,65 or older,University,Canada,Pass,1.026
854,4,NA,Men,0.6,certain,1,30%,30 to 44,University,Canada,Pass,1.4916
855,5,3,Men,NA,certain,0,70%,65 or older,HS or less,US,Fail,1.9324
856,5,2,Women,0.6,certain,0,50%,45 to 64,Some college,Canada,Fail,0.6783
857,4,2,Women,0.6,certain,0,50%,30 to 44,HS or less,Canada,Pass,0.6533
858,6.5,2,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6346
859,7,2,Women,0.433333333,certain,1,100%,45 to 64,University,US,Pass,0.461
860,10,3,Women,NA,certain,0,30%,65 or older,Some college,Canada,Fail,0.5734
861,2,4,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.6371
862,5,NA,Men,NA,certain,0,50%,65 or older,Some college,Canada,Fail,0.5521
863,4,4,Men,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,4.1399
864,5,3,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,1.1297
865,5.5,2,NA,NA,certain,0,100%,18 to 29,HS or less,Canada,Fail,2.2472
866,6.5,4,Men,NA,certain,0,100%,65 or older,Some college,Canada,Pass,0.768
867,0.5,4,Men,0.466666667,certain,1,50%,45 to 64,Postgrad,US,Pass,0.9488
868,5,2,Women,0.466666667,certain,0,70%,45 to 64,Some college,Canada,Pass,0.4078
869,4.5,3,Men,0.4,certain,1,50%,30 to 44,University,Canada,Pass,0.7213
870,4.5,3,Women,0.633333333,certain,1,70%,18 to 29,University,Canada,Fail,1.1476
871,5,3,Women,NA,certain,1,70%,65 or older,Postgrad,Canada,Pass,0.9618
872,4,NA,Women,NA,certain,1,100%,30 to 44,Postgrad,Canada,Fail,0.3642
873,4,2,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,1.3801
874,5,5,Men,0.6,risky,1,30%,45 to 64,University,US,Pass,2.7347
875,4.5,4,Men,NA,certain,1,70%,65 or older,Postgrad,Canada,Pass,1.2899
876,1.5,5,Women,0.166666667,risky,1,30%,18 to 29,University,US,Fail,1.3946
877,5,NA,Women,NA,certain,1,50%,45 to 64,University,Canada,Pass,1.2734
878,5,1,Women,0.8,certain,0,70%,30 to 44,Some college,Canada,Fail,0.5456
879,5,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.6109
880,5,2,Men,0.466666667,certain,0,70%,45 to 64,Some college,Canada,Pass,0.8286
881,5,4,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,0.9708
882,1,4,Women,0.533333333,certain,0,30%,45 to 64,Some college,Canada,Fail,0.53
883,4,2,Women,0.3,certain,0,100%,18 to 29,HS or less,Canada,Pass,0.5251
884,5,3,Women,0.433333333,certain,1,50%,65 or older,University,US,Fail,0.779
885,5,4,Women,NA,certain,0,70%,65 or older,HS or less,US,Pass,0.6755
886,5.5,3,Women,0.533333333,risky,0,30%,18 to 29,Some college,Canada,Pass,0.7405
887,3,NA,Women,0.133333333,certain,0,50%,65 or older,HS or less,Canada,Pass,1.0508
888,10,3,Men,0.366666667,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.5804
889,5,2,Women,0.433333333,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7323
890,5,3,Women,0.766666667,certain,1,100%,30 to 44,Postgrad,US,Fail,0.8467
891,6,4,Men,0.333333333,certain,0,70%,18 to 29,HS or less,US,Fail,0.8156
892,4,4,Men,0.333333333,risky,1,100%,18 to 29,University,US,Pass,0.8027
893,10,2,Women,0.466666667,certain,0,30%,30 to 44,Some college,Canada,Pass,1.6401
894,8,2,Men,NA,risky,0,30%,65 or older,HS or less,Canada,Fail,0.9196
895,2,4,Men,0.166666667,risky,0,70%,65 or older,Some college,Canada,Pass,2.3412
896,0,4,Women,NA,certain,0,100%,65 or older,HS or less,US,Pass,0.641
897,10,3,Women,NA,certain,1,70%,65 or older,Postgrad,US,Pass,1.1065
898,5.5,1,Women,NA,certain,1,100%,45 to 64,Postgrad,US,Pass,1.0702
899,7,2,Women,NA,certain,0,50%,65 or older,HS or less,US,Fail,0.5891
900,4,4,Women,0.6,certain,0,50%,65 or older,HS or less,Canada,Pass,2.9802
901,6.5,4,Men,0.9,certain,0,70%,45 to 64,Some college,Canada,Pass,0.4151
902,5,NA,Women,NA,certain,1,70%,65 or older,University,US,Pass,0.3677
903,10,2,Women,NA,certain,1,50%,65 or older,Postgrad,US,Fail,0.9815
904,9,2,Women,0.433333333,certain,1,30%,45 to 64,Postgrad,Canada,Pass,0.6578
905,4,4,Women,NA,risky,0,70%,30 to 44,HS or less,US,Fail,1.6505
906,3,2,Men,0.533333333,risky,0,100%,18 to 29,Some college,Canada,Pass,1.6354
907,7,3,Women,NA,certain,1,50%,45 to 64,Postgrad,US,Pass,1.7533
908,7.5,NA,Men,0.366666667,certain,0,50%,45 to 64,Some college,Canada,Fail,0.4654
909,2,5,Men,NA,certain,1,30%,65 or older,University,US,Pass,1.4318
910,0,2,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6346
911,0,4,Men,0.5,certain,1,30%,65 or older,Postgrad,Canada,Pass,1.2371
912,3,2,Men,0.4,certain,0,70%,45 to 64,Some college,Canada,Fail,0.4654
913,4.5,4,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.7454
914,5,3,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,1.1408
915,3,4,Women,NA,certain,1,50%,65 or older,University,US,Fail,0.702
916,5,NA,Women,0.3,certain,0,100%,30 to 44,Some college,Canada,Pass,0.6983
917,5,3,Men,NA,certain,1,50%,65 or older,University,Canada,Pass,1.0949
918,7,2,Women,0.533333333,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.566
919,0,1,Men,0.166666667,certain,0,50%,45 to 64,Some college,Canada,Pass,0.6474
920,5,3,Women,NA,certain,0,50%,45 to 64,HS or less,US,Fail,0.8763
921,6.5,2,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.4733
922,7,4,Women,NA,certain,0,30%,65 or older,Some college,Canada,Fail,0.8846
923,4,4,Women,NA,certain,1,50%,65 or older,University,US,Pass,1.0356
924,7,4,Women,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.3961
925,3,4,Men,NA,certain,0,100%,65 or older,Some college,Canada,Fail,0.5521
926,5.5,2,Women,NA,certain,0,30%,45 to 64,Some college,Canada,Fail,0.381
927,5,2,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,1.8768
928,4,4,Men,0.566666667,risky,0,30%,45 to 64,Some college,Canada,Pass,1.2591
929,4,2,Women,NA,risky,0,30%,18 to 29,HS or less,Canada,Pass,0.5251
930,6.5,3,Women,0.6,certain,0,100%,45 to 64,Some college,Canada,Pass,0.381
931,9,3,Women,NA,certain,1,100%,45 to 64,University,US,Fail,0.3443
932,3,3,Women,0.533333333,certain,1,30%,30 to 44,University,Canada,Pass,1.4419
933,3.5,1,Women,0.533333333,certain,1,30%,65 or older,University,US,Pass,1.1231
934,4,2,Women,0.5,certain,0,50%,18 to 29,HS or less,Canada,Fail,0.9083
935,3.5,3,Women,NA,certain,1,70%,65 or older,University,Canada,Pass,1.0361
936,2,2,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,1.2791
937,5,3,Women,0.333333333,certain,0,50%,18 to 29,HS or less,Canada,Pass,0.9257
938,6,4,Men,0.566666667,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.7994
939,5,3,Men,0.6,certain,0,50%,30 to 44,HS or less,Canada,Pass,1.5899
940,5,2,Women,0.9,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6409
941,3,1,Women,NA,certain,1,30%,65 or older,University,Canada,Pass,1.8265
942,4.5,4,Women,0.4,certain,0,50%,65 or older,Some college,Canada,Pass,0.4969
943,5,3,Men,0.566666667,certain,1,70%,45 to 64,Postgrad,US,Pass,1.1325
944,4.5,3,Men,1,certain,0,30%,45 to 64,HS or less,Canada,Fail,1.1541
945,7,3,Men,0.833333333,certain,0,70%,65 or older,Some college,Canada,Fail,0.9009
946,2,NA,Women,0.366666667,certain,1,30%,65 or older,University,Canada,Fail,1.6607
947,6.5,3,Women,0.733333333,certain,1,50%,45 to 64,Postgrad,Canada,Pass,0.6881
948,3,4,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,1.5281
949,5,2,Women,NA,risky,0,100%,65 or older,HS or less,Canada,Pass,0.8357
950,10,3,Women,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.6983
951,6,1,Men,NA,certain,0,30%,65 or older,Some college,Canada,Fail,0.6849
952,5,4,Women,0.5,certain,0,70%,45 to 64,Some college,Canada,Pass,0.381
953,5,3,Men,0.666666667,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.035
954,5,NA,Men,NA,risky,0,100%,18 to 29,HS or less,US,Pass,0.9454
955,5,3,Women,0.6,certain,0,70%,45 to 64,Some college,Canada,Fail,0.3848
956,1.5,5,Women,0.833333333,certain,0,100%,45 to 64,Some college,Canada,Pass,0.53
957,4.5,3,Men,0.8,certain,0,100%,65 or older,HS or less,Canada,Fail,0.9954
958,5,1,Women,0.533333333,certain,0,70%,18 to 29,Some college,Canada,Fail,0.2812
959,5,3,Women,0.833333333,certain,0,50%,65 or older,HS or less,Canada,Pass,1.3503
960,5,2,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.0508
961,5,1,Men,0.4,certain,0,50%,45 to 64,Some college,Canada,Fail,0.546
962,3,3,Men,0.333333333,certain,1,50%,30 to 44,University,Canada,Fail,1.5067
963,5,2,Women,NA,certain,0,50%,45 to 64,Some college,Canada,Pass,0.447
964,1.5,4,Men,0.566666667,certain,0,30%,30 to 44,Some college,Canada,Fail,0.4468
965,8,2,Women,0.233333333,certain,0,50%,45 to 64,Some college,Canada,Fail,0.53
966,0,5,Men,0.566666667,certain,0,50%,18 to 29,HS or less,Canada,Pass,1.9657
967,0,4,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Fail,0.6409
968,5,3,Men,NA,risky,0,30%,45 to 64,HS or less,US,Fail,0.6773
969,6,3,Men,0.866666667,certain,0,30%,30 to 44,HS or less,US,Fail,1.0209
970,5,1,Women,NA,certain,0,30%,45 to 64,Some college,Canada,Pass,0.447
971,2.5,3,Men,0.466666667,certain,1,30%,45 to 64,University,Canada,Fail,1.1285
972,5,5,Women,0.466666667,risky,0,70%,45 to 64,Some college,Canada,Pass,1.5931
973,0,5,Women,0.966666667,certain,0,70%,45 to 64,Some college,Canada,Pass,0.6783
974,6,2,Men,0.166666667,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.6632
975,4,4,Men,NA,certain,1,50%,45 to 64,University,Canada,Pass,0.923
976,10,2,Women,0.566666667,risky,1,30%,18 to 29,University,Canada,Pass,0.7996
977,3.5,2,Women,NA,certain,0,30%,18 to 29,HS or less,Canada,Pass,2.0995
978,7,2,Men,NA,certain,1,30%,65 or older,University,Canada,Pass,0.7949
979,4.5,4,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,1.1488
980,4,3,Women,0.833333333,risky,1,100%,45 to 64,University,Canada,Fail,1.4006
981,4,NA,Men,0.966666667,certain,0,30%,30 to 44,Some college,Canada,Fail,0.8536
982,3.5,4,Men,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.591
983,4,NA,Women,NA,risky,0,70%,45 to 64,HS or less,Canada,Pass,0.7872
984,2,4,Women,NA,certain,0,30%,30 to 44,Some college,US,Fail,0.7995
985,6,4,Men,NA,risky,0,50%,65 or older,Some college,US,Pass,0.5194
986,1,3,Men,1,certain,0,30%,18 to 29,HS or less,US,Fail,0.9649
987,3.5,4,Men,NA,certain,0,100%,18 to 29,HS or less,US,Pass,1.2234
988,5,3,Women,0.833333333,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.8827
989,9,2,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7829
990,5,NA,Men,0.766666667,certain,0,100%,65 or older,HS or less,US,Fail,0.6929
991,4,4,Women,NA,certain,0,70%,18 to 29,HS or less,US,Fail,1.9169
992,0,3,Women,0.333333333,risky,0,50%,45 to 64,Some college,US,Fail,0.7271
993,7.5,NA,Men,NA,certain,0,30%,65 or older,HS or less,US,Fail,1.3627
994,2,3,Women,NA,certain,1,70%,30 to 44,University,Canada,Pass,0.8767
995,6.5,3,Women,0.233333333,certain,1,30%,30 to 44,University,Canada,Pass,0.8179
996,5,3,Women,0.5,certain,1,70%,30 to 44,University,Canada,Pass,0.7862
997,6,4,Women,0.266666667,certain,0,70%,30 to 44,HS or less,Canada,Fail,1.3644
998,5,4,Men,0.3,risky,1,100%,45 to 64,University,Canada,Fail,0.923
999,4,4,Women,NA,risky,0,70%,65 or older,Some college,Canada,Pass,0.4969
1000,1,1,Men,0.4,certain,0,70%,30 to 44,Some college,Canada,Pass,0.5059
1001,1.5,4,Men,NA,certain,1,50%,45 to 64,University,US,Pass,0.741
1002,4.5,1,Women,0.466666667,certain,1,100%,30 to 44,University,Canada,Fail,0.8179
1003,4,4,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,1.4601
1004,5,4,Men,NA,risky,0,50%,65 or older,HS or less,Canada,Pass,1.5004
1005,4.5,1,Men,0.366666667,certain,0,50%,30 to 44,Some college,Canada,Pass,0.8918
1006,3.5,3,Men,1,certain,0,70%,65 or older,HS or less,Canada,Fail,1.0611
1007,5,4,Women,NA,certain,0,50%,45 to 64,Some college,Canada,Pass,0.6783
1008,0,4,Men,NA,risky,0,50%,45 to 64,Some college,Canada,Fail,0.591
1009,4.5,3,Women,NA,risky,0,30%,18 to 29,Some college,US,Fail,0.8393
1010,10,1,Men,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.3801
1011,10,1,Men,0.433333333,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.1541
1012,7,4,Men,0.766666667,certain,0,50%,18 to 29,HS or less,US,Pass,1.5885
1013,3.5,5,Men,0.233333333,certain,0,100%,30 to 44,Some college,US,Pass,1.1058
1014,7,1,Men,NA,certain,0,50%,65 or older,Some college,US,Pass,0.7774
1015,5,3,Women,0.966666667,certain,0,70%,45 to 64,HS or less,US,Fail,0.9351
1016,7.5,NA,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.7872
1017,1,2,Men,0.466666667,certain,0,30%,30 to 44,Some college,US,Fail,1.9659
1018,7,3,Men,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.7809
1019,8,NA,Women,0.166666667,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.5716
1020,2,4,Men,0.433333333,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.9616
1021,5,4,Women,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.5794
1022,5,4,Men,0.1,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.8298
1023,2.5,3,Women,0.366666667,risky,0,70%,30 to 44,Some college,US,Fail,0.9045
1024,2,4,Men,0.366666667,certain,0,70%,30 to 44,Some college,Canada,Fail,0.8536
1025,4,4,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.8202
1026,5,2,Men,NA,certain,0,100%,65 or older,Some college,US,Pass,0.6251
1027,4,3,Men,0.566666667,certain,0,100%,45 to 64,Some college,Canada,Fail,0.8286
1028,5,NA,Women,0.566666667,certain,0,70%,45 to 64,Some college,Canada,Fail,0.4124
1029,10,4,Women,0.733333333,certain,0,100%,18 to 29,HS or less,Canada,Pass,0.7232
1030,8,2,Women,NA,risky,0,100%,45 to 64,HS or less,US,Fail,0.763
1031,2.5,3,Men,NA,certain,0,50%,30 to 44,HS or less,US,Pass,1.2258
1032,3,3,Men,0.766666667,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.7752
1033,7.5,4,Women,0.166666667,certain,0,50%,45 to 64,Some college,US,Pass,1.0368
1034,6,2,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.7518
1035,4.5,3,Men,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,1.5004
1036,4,4,Men,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7752
1037,5,4,Women,0.766666667,certain,0,50%,65 or older,HS or less,Canada,Pass,1.1511
1038,0,2,Men,0.666666667,risky,0,50%,45 to 64,HS or less,Canada,Fail,0.8298
1039,10,1,Men,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.5644
1040,5,3,Women,NA,risky,0,30%,45 to 64,Some college,US,Pass,0.6272
1041,4.5,2,Men,0.8,certain,0,50%,30 to 44,HS or less,Canada,Fail,1.2365
1042,5.5,4,Men,NA,risky,0,50%,65 or older,HS or less,Canada,Fail,1.5004
1043,6,2,Women,0.7,certain,0,100%,65 or older,Some college,US,Fail,0.7483
1044,5,3,Women,0.533333333,risky,1,70%,18 to 29,University,US,Fail,0.818
1045,5,2,Men,NA,certain,0,30%,30 to 44,HS or less,Canada,Pass,1.0611
1046,10,1,Men,0.466666667,risky,1,30%,45 to 64,University,US,Pass,0.4881
1047,10,1,Men,0.766666667,certain,0,70%,45 to 64,HS or less,US,Pass,0.895
1048,1.5,4,Men,0.666666667,risky,0,70%,45 to 64,Some college,US,Fail,0.5029
1049,2.5,4,Women,0.133333333,risky,0,70%,18 to 29,Some college,US,Fail,0.1875
1050,0,4,Women,0.5,certain,1,50%,30 to 44,University,US,Fail,0.727
1051,8,3,Men,0.666666667,risky,1,50%,45 to 64,University,US,Pass,0.8796
1052,1.5,3,Women,NA,certain,0,50%,18 to 29,HS or less,US,Pass,0.2783
1053,5,NA,Women,0.633333333,certain,0,70%,45 to 64,Some college,US,Fail,0.4903
1054,9,NA,Men,0.333333333,certain,1,50%,30 to 44,University,US,Pass,1.245
1055,5,4,Women,NA,certain,0,70%,30 to 44,HS or less,US,Pass,3.0519
1056,3,3,Men,NA,risky,0,30%,45 to 64,Some college,US,Fail,0.9415
1057,7,2,Women,0.4,certain,0,30%,30 to 44,Some college,US,Fail,0.6452
1058,5,NA,Women,NA,certain,0,50%,65 or older,Some college,US,Fail,0.5685
1059,1.5,5,Men,0.233333333,certain,0,100%,30 to 44,HS or less,US,Pass,0.9306
1060,5.5,5,Women,NA,certain,0,100%,45 to 64,Some college,US,Fail,0.7075
1061,3,4,Men,0.366666667,certain,1,100%,18 to 29,University,US,Fail,1.0437
1062,1.5,4,NA,0.133333333,risky,1,70%,30 to 44,University,US,Fail,0.9496
1063,7,2,Men,0.266666667,certain,1,70%,45 to 64,University,US,Pass,0.63
1064,5,4,Women,NA,certain,0,70%,45 to 64,HS or less,US,Fail,1.2346
1065,5,3,Men,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.8
1066,3.5,3,Men,NA,risky,0,100%,30 to 44,Some college,US,Fail,0.8692
1067,5.5,NA,Women,0.9,certain,0,100%,45 to 64,HS or less,US,Fail,0.6109
1068,5,4,Women,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.0518
1069,5,NA,Men,0.466666667,certain,1,30%,45 to 64,University,US,Fail,0.6977
1070,2.5,3,Men,0.633333333,certain,1,50%,45 to 64,University,US,Pass,0.63
1071,3,1,Men,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.6476
1072,5,3,Men,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,2.3059
1073,3,5,Men,0.433333333,certain,0,100%,30 to 44,HS or less,Canada,Pass,0.8344
1074,6,4,Women,0.233333333,certain,0,50%,45 to 64,Some college,US,Fail,0.6174
1075,0,2,Men,0.8,certain,0,100%,45 to 64,Some college,US,Fail,0.9408
1076,3,4,Men,0.266666667,risky,1,100%,30 to 44,University,US,Pass,0.8468
1077,2,3,Men,0.233333333,certain,1,30%,45 to 64,Postgrad,Canada,Pass,0.7994
1078,5,1,Men,0.3,certain,0,30%,30 to 44,Some college,Canada,Fail,1.5196
1079,3,1,Women,NA,certain,0,70%,45 to 64,HS or less,US,Fail,1.8645
1080,8,3,Men,0.3,certain,0,30%,30 to 44,Some college,Canada,Pass,0.4512
1081,5,3,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.7381
1082,2,5,Men,0.4,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7752
1083,8,2,Men,0.366666667,certain,0,50%,30 to 44,Some college,Canada,Pass,0.7048
1084,5,4,Men,0.866666667,risky,0,70%,45 to 64,Some college,Canada,Fail,0.4654
1085,1.5,4,Men,NA,risky,1,100%,45 to 64,University,US,Fail,0.8803
1086,5.5,1,Men,0.3,certain,1,50%,30 to 44,Postgrad,Canada,Pass,0.7328
1087,0,4,Men,0.1,certain,1,100%,30 to 44,University,Canada,Pass,0.6676
1088,5,NA,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,0.7134
1089,0,5,Women,0.266666667,certain,0,100%,30 to 44,Some college,US,Fail,0.386
1090,9,2,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.5716
1091,4.5,5,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,0.932
1092,5,5,Women,0.533333333,certain,0,100%,30 to 44,HS or less,US,Fail,0.8119
1093,5,4,Women,0.266666667,risky,0,100%,18 to 29,Some college,Canada,Pass,0.7405
1094,2.5,4,Men,0.2,certain,0,50%,30 to 44,Some college,US,Pass,1.1183
1095,8,2,Women,0.733333333,risky,1,70%,18 to 29,University,US,Pass,0.6146
1096,4,2,Men,0.233333333,risky,1,30%,45 to 64,University,US,Pass,0.5618
1097,0,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.8827
1098,5,5,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.2145
1099,3.5,2,Men,0.233333333,certain,1,30%,30 to 44,Postgrad,Canada,Pass,1.8896
1100,4.5,3,Women,0.366666667,certain,1,50%,45 to 64,University,Canada,Fail,0.8421
1101,5,4,Men,0.233333333,certain,1,30%,45 to 64,University,Canada,Pass,0.6636
1102,3.5,2,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.8357
1103,2.5,4,Women,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.6475
1104,5,4,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.8945
1105,5,3,Women,NA,certain,1,30%,30 to 44,Postgrad,Canada,Fail,0.9766
1106,7,2,Men,0.366666667,risky,0,100%,30 to 44,Some college,US,Pass,0.8387
1107,6,4,Men,0.866666667,risky,0,100%,18 to 29,HS or less,Canada,Fail,3.2345
1108,7,3,Women,0.866666667,certain,0,70%,45 to 64,HS or less,US,Pass,3.4558
1109,2.5,4,Women,0.966666667,certain,0,70%,30 to 44,Some college,US,Fail,1.4361
1110,5,NA,Women,NA,certain,0,100%,65 or older,HS or less,US,Fail,0.8073
1111,7,2,Men,0.666666667,certain,0,30%,45 to 64,Some college,Canada,Fail,0.9874
1112,7,1,Women,0.2,certain,0,50%,18 to 29,HS or less,Canada,Pass,0.645
1113,4.5,3,Women,NA,certain,0,100%,45 to 64,HS or less,US,Pass,3.0805
1114,7,2,Women,0.533333333,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7872
1115,6.5,2,Men,NA,certain,0,70%,18 to 29,Some college,Canada,Pass,0.7568
1116,4,3,Women,0.8,certain,0,30%,65 or older,HS or less,Canada,Pass,1.1511
1117,6.5,3,Men,NA,risky,0,30%,45 to 64,HS or less,US,Fail,2.0424
1118,5,4,Men,0.066666667,risky,1,100%,45 to 64,University,Canada,Fail,1.0827
1119,5,2,Women,NA,risky,0,70%,45 to 64,HS or less,Canada,Fail,2.2853
1120,3,4,Women,0.366666667,certain,1,30%,18 to 29,Postgrad,US,Pass,1.3814
1121,5,3,Women,0.9,risky,0,30%,45 to 64,Some college,Canada,Pass,0.8949
1122,5,2,Men,NA,certain,0,70%,45 to 64,HS or less,US,Pass,1.7352
1123,5,5,Men,NA,certain,0,100%,45 to 64,Some college,Canada,Pass,0.4654
1124,0,3,Women,0.6,certain,0,100%,65 or older,HS or less,Canada,Pass,0.9804
1125,10,5,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,1.2092
1126,3.5,3,Women,0.4,certain,1,70%,30 to 44,Postgrad,US,Fail,0.7918
1127,6.5,1,NA,NA,risky,0,50%,18 to 29,Some college,US,Pass,0.1376
1128,3,4,Women,0.4,certain,0,70%,45 to 64,Some college,US,Pass,0.6366
1129,7,5,Men,NA,risky,0,30%,45 to 64,HS or less,Canada,Fail,1.3801
1130,2.5,1,Women,NA,certain,0,70%,30 to 44,HS or less,Canada,Pass,0.5884
1131,0,3,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.4291
1132,5,NA,Men,NA,certain,0,30%,30 to 44,HS or less,US,Fail,1.7273
